Infinitif,Japonais,Niveau,Groupe,Auxiliaire,Present_je,Present_tu,Present_il/elle,Present_nous,Present_vous,Present_ils/elles,Futur_je,Futur_tu,Futur_il/elle,Futur_nous,Futur_vous,Futur_ils/elles,PasseCompose_je,PasseCompose_tu,PasseCompose_il/elle,PasseCompose_nous,PasseCompose_vous,PasseCompose_ils/elles
parler,話す（はなす）,A1,1er groupe (-er),avoir,parle,parles,parle,parlons,parlez,parlent,parlerai,parleras,parlera,parlerons,parlerez,parleront,ai parlé,as parlé,a parlé,avons parlé,avez parlé,ont parlé
aimer,好き（すき）・愛する（あいする）,A1,1er groupe (-er),avoir,aime,aimes,aime,aimons,aimez,aiment,aimerai,aimeras,aimera,aimerons,aimerez,aimeront,ai aimé,as aimé,a aimé,avons aimé,avez aimé,ont aimé
regarder,見る（みる）,A1,1er groupe (-er),avoir,regarde,regardes,regarde,regardons,regardez,regardent,regarderai,regarderas,regardera,regarderons,regarderez,regarderont,ai regardé,as regardé,a regardé,avons regardé,avez regardé,ont regardé
écouter,聞く（きく）,A1,1er groupe (-er),avoir,écoute,écoutes,écoute,écoutons,écoutez,écoutent,écouterai,écouteras,écoutera,écouterons,écouterez,écouteront,ai écouté,as écouté,a écouté,avons écouté,avez écouté,ont écouté
habiter,住む（すむ）,A1,1er groupe (-er),avoir,habite,habites,habite,habitons,habitez,habitent,habiterai,habiteras,habitera,habiterons,habiterez,habiteront,ai habité,as habité,a habité,avons habité,avez habité,ont habité
travailler,働く（はたらく）,A1,1er groupe (-er),avoir,travaille,travailles,travaille,travaillons,travaillez,travaillent,travaillerai,travailleras,travaillera,travaillerons,travaillerez,travailleront,ai travaillé,as travaillé,a travaillé,avons travaillé,avez travaillé,ont travaillé
jouer,遊ぶ（あそぶ）,A1,1er groupe (-er),avoir,joue,joues,joue,jouons,jouez,jouent,jouerai,joueras,jouera,jouerons,jouerez,joueront,ai joué,as joué,a joué,avons joué,avez joué,ont joué
chanter,歌う（うたう）,A1,1er groupe (-er),avoir,chante,chantes,chante,chantons,chantez,chantent,chanterai,chanteras,chantera,chanterons,chanterez,chanteront,ai chanté,as chanté,a chanté,avons chanté,avez chanté,ont chanté
danser,踊る（おどる）,A1,1er groupe (-er),avoir,danse,danses,danse,dansons,dansez,dansent,danserai,danseras,dansera,danserons,danserez,danseront,ai dansé,as dansé,a dansé,avons dansé,avez dansé,ont dansé
dessiner,描く（えがく）,A1,1er groupe (-er),avoir,dessine,dessines,dessine,dessinons,dessinez,dessinent,dessinerai,dessineras,dessinera,dessinerons,dessinerez,dessineront,ai dessiné,as dessiné,a dessiné,avons dessiné,avez dessiné,ont dessiné
cuisiner,料理する（りょうりする）,A2,1er groupe (-er),avoir,cuisine,cuisines,cuisine,cuisinons,cuisinez,cuisinent,cuisinerai,cuisineras,cuisinera,cuisinerons,cuisinerez,cuisineront,ai cuisiné,as cuisiné,a cuisiné,avons cuisiné,avez cuisiné,ont cuisiné
nager,泳ぐ（およぐ）,A1,1er groupe (-er),avoir,nage,nages,nage,nageons,nagez,nagent,nagerai,nageras,nagera,nagerons,nagerez,nageront,ai nagé,as nagé,a nagé,avons nagé,avez nagé,ont nagé
voyager,旅行する（りょこうする）,A2,1er groupe (-er),avoir,voyage,voyages,voyage,voyageons,voyagez,voyagent,voyagerai,voyageras,voyagera,voyagerons,voyagerez,voyageront,ai voyagé,as voyagé,a voyagé,avons voyagé,avez voyagé,ont voyagé
penser,考える（かんがえる）,A1,1er groupe (-er),avoir,pense,penses,pense,pensons,pensez,pensent,penserai,penseras,pensera,penserons,penserez,penseront,ai pensé,as pensé,a pensé,avons pensé,avez pensé,ont pensé
chercher,探す（さがす）,A1,1er groupe (-er),avoir,cherche,cherches,cherche,cherchons,cherchez,cherchent,chercherai,chercheras,cherchera,chercherons,chercherez,chercheront,ai cherché,as cherché,a cherché,avons cherché,avez cherché,ont cherché
trouver,見つける（みつける）,A1,1er groupe (-er),avoir,trouve,trouves,trouve,trouvons,trouvez,trouvent,trouverai,trouveras,trouvera,trouverons,trouverez,trouveront,ai trouvé,as trouvé,a trouvé,avons trouvé,avez trouvé,ont trouvé
donner,あげる／与える（あたえる）,A1,1er groupe (-er),avoir,donne,donnes,donne,donnons,donnez,donnent,donnerai,donneras,donnera,donnerons,donnerez,donneront,ai donné,as donné,a donné,avons donné,avez donné,ont donné
acheter,買う（かう）,A1,1er groupe (-er),avoir,achète,achètes,achète,achetons,achetez,achètent,achèterai,achèteras,achètera,achèterons,achèterez,achèteront,ai acheté,as acheté,a acheté,avons acheté,avez acheté,ont acheté
demander,尋ねる（たずねる）／頼む（たのむ）,A1,1er groupe (-er),avoir,demande,demandes,demande,demandons,demandez,demandent,demanderai,demanderas,demandera,demanderons,demanderez,demanderont,ai demandé,as demandé,a demandé,avons demandé,avez demandé,ont demandé
aider,手伝う（てつだう）,A1,1er groupe (-er),avoir,aide,aides,aide,aidons,aidez,aident,aiderai,aideras,aidera,aiderons,aiderez,aideront,ai aidé,as aidé,a aidé,avons aidé,avez aidé,ont aidé
montrer,見せる（みせる）,A2,1er groupe (-er),avoir,montre,montres,montre,montrons,montrez,montrent,montrerai,montreras,montrera,montrerons,montrerez,montreront,ai montré,as montré,a montré,avons montré,avez montré,ont montré
commencer,始める（はじめる）,A1,1er groupe (-er),avoir,commence,commences,commence,commençons,commencez,commencent,commencerai,commenceras,commencera,commencerons,commencerez,commenceront,ai commencé,as commencé,a commencé,avons commencé,avez commencé,ont commencé
arriver,着く（つく）／到着する（とうちゃくする）,A1,1er groupe (-er),être,arrive,arrives,arrive,arrivons,arrivez,arrivent,arriverai,arriveras,arrivera,arriverons,arriverez,arriveront,suis arrivé,es arrivé,est arrivé,sommes arrivé,êtes arrivé,sont arrivé
rester,残る（のこる）／滞在する（たいざいする）,A1,1er groupe (-er),être,reste,restes,reste,restons,restez,restent,resterai,resteras,restera,resterons,resterez,resteront,suis resté,es resté,est resté,sommes resté,êtes resté,sont resté
passer,過ごす（すごす）,A2,1er groupe (-er),avoir,passe,passes,passe,passons,passez,passent,passerai,passeras,passera,passerons,passerez,passeront,ai passé,as passé,a passé,avons passé,avez passé,ont passé
préférer,好む（このむ）,A1,1er groupe (-er),avoir,préfère,préfères,préfère,préférons,préférez,préfèrent,préférerai,préféreras,préférera,préférerons,préférerez,préféreront,ai préféré,as préféré,a préféré,avons préféré,avez préféré,ont préféré
appeler,呼ぶ（よぶ）,A1,1er groupe (-er),avoir,appelle,appelles,appelle,appelons,appelez,appellent,appellerai,appelleras,appellera,appellerons,appellerez,appelleront,ai appelé,as appelé,a appelé,avons appelé,avez appelé,ont appelé
jeter,投げる（なげる）／捨てる（すてる）,A2,1er groupe (-er),avoir,jette,jettes,jette,jetons,jetez,jettent,jetterai,jetteras,jettera,jetterons,jetterez,jetteront,ai jeté,as jeté,a jeté,avons jeté,avez jeté,ont jeté
essayer,試す（ためす）,A2,1er groupe (-er),avoir,essaie,essaies,essaie,essayons,essayez,essaient,essayerai,essayeras,essayera,essayerons,essayerez,essayeront,ai essayé,as essayé,a essayé,avons essayé,avez essayé,ont essayé
gagner,勝つ（かつ）／稼ぐ（かせぐ）,A1,1er groupe (-er),avoir,gagne,gagnes,gagne,gagnons,gagnez,gagnent,gagnerai,gagneras,gagnera,gagnerons,gagnerez,gagneront,ai gagné,as gagné,a gagné,avons gagné,avez gagné,ont gagné
porter,着る（きる）／運ぶ（はこぶ）,A1,1er groupe (-er),avoir,porte,portes,porte,portons,portez,portent,porterai,porteras,portera,porterons,porterez,porteront,ai porté,as porté,a porté,avons porté,avez porté,ont porté
laver,洗う（あらう）,A1,1er groupe (-er),avoir,lave,laves,lave,lavons,lavez,lavent,laverai,laveras,lavera,laverons,laverez,laveront,ai lavé,as lavé,a lavé,avons lavé,avez lavé,ont lavé
ranger,片付ける（かたづける）,A1,1er groupe (-er),avoir,range,ranges,range,rangeons,rangez,rangent,rangerai,rangeras,rangera,rangerons,rangerez,rangeront,ai rangé,as rangé,a rangé,avons rangé,avez rangé,ont rangé
continuer,続ける（つづける）,A2,1er groupe (-er),avoir,continue,continues,continue,continuons,continuez,continuent,continuerai,continueras,continuera,continuerons,continuerez,continueront,ai continué,as continué,a continué,avons continué,avez continué,ont continué
changer,変える（かえる）,A1,1er groupe (-er),avoir,change,changes,change,changeons,changez,changent,changerai,changeras,changera,changerons,changerez,changeront,ai changé,as changé,a changé,avons changé,avez changé,ont changé
téléphoner,電話する（でんわする）,A1,1er groupe (-er),avoir,téléphone,téléphones,téléphone,téléphonons,téléphonez,téléphonent,téléphonerai,téléphoneras,téléphonera,téléphonerons,téléphonerez,téléphoneront,ai téléphoné,as téléphoné,a téléphoné,avons téléphoné,avez téléphoné,ont téléphoné
étudier,勉強する（べんきょうする）,A1,1er groupe (-er),avoir,étudie,étudies,étudie,étudions,étudiez,étudient,étudierai,étudieras,étudiera,étudierons,étudierez,étudieront,ai étudié,as étudié,a étudié,avons étudié,avez étudié,ont étudié
terminer,終える（おえる）,A2,1er groupe (-er),avoir,termine,termines,termine,terminons,terminez,terminent,terminerai,termineras,terminera,terminerons,terminerez,termineront,ai terminé,as terminé,a terminé,avons terminé,avez terminé,ont terminé
expliquer,説明する（せつめいする）,A2,1er groupe (-er),avoir,explique,expliques,explique,expliquons,expliquez,expliquent,expliquerai,expliqueras,expliquera,expliquerons,expliquerez,expliqueront,ai expliqué,as expliqué,a expliqué,avons expliqué,avez expliqué,ont expliqué
oublier,忘れる（わすれる）,A1,1er groupe (-er),avoir,oublie,oublies,oublie,oublions,oubliez,oublient,oublierai,oublieras,oubliera,oublierons,oublierez,oublieront,ai oublié,as oublié,a oublié,avons oublié,avez oublié,ont oublié
marcher,歩く（あるく）,A1,1er groupe (-er),avoir,marche,marches,marche,marchons,marchez,marchent,marcherai,marcheras,marchera,marcherons,marcherez,marcheront,ai marché,as marché,a marché,avons marché,avez marché,ont marché
finir,終わる（おわる）,A1,2e groupe (-ir),avoir,finis,finis,finit,finissons,finissez,finissent,finirai,finiras,finira,finirons,finirez,finiront,ai fini,as fini,a fini,avons fini,avez fini,ont fini
choisir,選ぶ（えらぶ）,A1,2e groupe (-ir),avoir,choisis,choisis,choisit,choisissons,choisissez,choisissent,choisirai,choisiras,choisira,choisirons,choisirez,choisiront,ai choisi,as choisi,a choisi,avons choisi,avez choisi,ont choisi
réussir,成功する（せいこうする）,A2,2e groupe (-ir),avoir,réussis,réussis,réussit,réussissons,réussissez,réussissent,réussirai,réussiras,réussira,réussirons,réussirez,réussiront,ai réussi,as réussi,a réussi,avons réussi,avez réussi,ont réussi
grandir,成長する（せいちょうする）,A2,2e groupe (-ir),avoir,grandis,grandis,grandit,grandissons,grandissez,grandissent,grandirai,grandiras,grandira,grandirons,grandirez,grandiront,ai grandi,as grandi,a grandi,avons grandi,avez grandi,ont grandi
réfléchir,よく考える（かんがえる）,A2,2e groupe (-ir),avoir,réfléchis,réfléchis,réfléchit,réfléchissons,réfléchissez,réfléchissent,réfléchirai,réfléchiras,réfléchira,réfléchirons,réfléchirez,réfléchiront,ai réfléchi,as réfléchi,a réfléchi,avons réfléchi,avez réfléchi,ont réfléchi
obéir,従う（したがう）,A2,2e groupe (-ir),avoir,obéis,obéis,obéit,obéissons,obéissez,obéissent,obéirai,obéiras,obéira,obéirons,obéirez,obéiront,ai obéi,as obéi,a obéi,avons obéi,avez obéi,ont obéi
remplir,満たす（みたす）,A2,2e groupe (-ir),avoir,remplis,remplis,remplit,remplissons,remplissez,remplissent,remplirai,rempliras,remplira,remplirons,remplirez,rempliront,ai rempli,as rempli,a rempli,avons rempli,avez rempli,ont rempli
rougir,赤くなる（あかくなる）,A2,2e groupe (-ir),avoir,rougis,rougis,rougit,rougissons,rougissez,rougissent,rougirai,rougiras,rougira,rougirons,rougirez,rougiront,ai rougi,as rougi,a rougi,avons rougi,avez rougi,ont rougi
maigrir,痩せる（やせる）,A2,2e groupe (-ir),avoir,maigris,maigris,maigrit,maigrissons,maigrissez,maigrissent,maigrirai,maigriras,maigrira,maigrirons,maigrirez,maigriront,ai maigri,as maigri,a maigri,avons maigri,avez maigri,ont maigri
agir,行動する（こうどうする）,A2,2e groupe (-ir),avoir,agis,agis,agit,agissons,agissez,agissent,agirai,agiras,agira,agirons,agirez,agiront,ai agi,as agi,a agi,avons agi,avez agi,ont agi
attendre,待つ（まつ）,A1,3e groupe (-re),avoir,attends,attends,attend,attendons,attendez,attendent,attendrai,attendras,attendra,attendrons,attendrez,attendront,ai attendu,as attendu,a attendu,avons attendu,avez attendu,ont attendu
vendre,売る（うる）,A1,3e groupe (-re),avoir,vends,vends,vend,vendons,vendez,vendent,vendrai,vendras,vendra,vendrons,vendrez,vendront,ai vendu,as vendu,a vendu,avons vendu,avez vendu,ont vendu
entendre,聞こえる（きこえる）,A1,3e groupe (-re),avoir,entends,entends,entend,entendons,entendez,entendent,entendrai,entendras,entendra,entendrons,entendrez,entendront,ai entendu,as entendu,a entendu,avons entendu,avez entendu,ont entendu
perdre,失う（うしなう）／負ける（まける）,A1,3e groupe (-re),avoir,perds,perds,perd,perdons,perdez,perdent,perdrai,perdras,perdra,perdrons,perdrez,perdront,ai perdu,as perdu,a perdu,avons perdu,avez perdu,ont perdu
répondre,答える（こたえる）,A1,3e groupe (-re),avoir,réponds,réponds,répond,répondons,répondez,répondent,répondrai,répondras,répondra,répondrons,répondrez,répondront,ai répondu,as répondu,a répondu,avons répondu,avez répondu,ont répondu
descendre,降りる（おりる）,A2,3e groupe (-re),être,descends,descends,descend,descendons,descendez,descendent,descendrai,descendras,descendra,descendrons,descendrez,descendront,suis descendu,es descendu,est descendu,sommes descendu,êtes descendu,sont descendu
rendre,返す（かえす）,A2,3e groupe (-re),avoir,rends,rends,rend,rendons,rendez,rendent,rendrai,rendras,rendra,rendrons,rendrez,rendront,ai rendu,as rendu,a rendu,avons rendu,avez rendu,ont rendu
être,〜である／〜だ,A1,irrégulier,avoir,suis,es,est,sommes,êtes,sont,serai,seras,sera,serons,serez,seront,ai été,as été,a été,avons été,avez été,ont été
avoir,持つ（もつ）,A1,irrégulier,avoir,ai,as,a,avons,avez,ont,aurai,auras,aura,aurons,aurez,auront,ai eu,as eu,a eu,avons eu,avez eu,ont eu
aller,行く（いく）,A1,irrégulier,être,vais,vas,va,allons,allez,vont,irai,iras,ira,irons,irez,iront,suis allé,es allé,est allé,sommes allé,êtes allé,sont allé
faire,する／作る（つくる）,A1,irrégulier,avoir,fais,fais,fait,faisons,faites,font,ferai,feras,fera,ferons,ferez,feront,ai fait,as fait,a fait,avons fait,avez fait,ont fait
pouvoir,できる,A1,irrégulier,avoir,peux,peux,peut,pouvons,pouvez,peuvent,pourrai,pourras,pourra,pourrons,pourrez,pourront,ai pu,as pu,a pu,avons pu,avez pu,ont pu
vouloir,欲しい（ほしい）／したい,A1,irrégulier,avoir,veux,veux,veut,voulons,voulez,veulent,voudrai,voudras,voudra,voudrons,voudrez,voudront,ai voulu,as voulu,a voulu,avons voulu,avez voulu,ont voulu
devoir,しなければならない,A1,irrégulier,avoir,dois,dois,doit,devons,devez,doivent,devrai,devras,devra,devrons,devrez,devront,ai dû,as dû,a dû,avons dû,avez dû,ont dû
savoir,知っている（しっている）,A1,irrégulier,avoir,sais,sais,sait,savons,savez,savent,saurai,sauras,saura,saurons,saurez,sauront,ai su,as su,a su,avons su,avez su,ont su
voir,見える（みえる）／見る（みる）,A1,irrégulier,avoir,vois,vois,voit,voyons,voyez,voient,verrai,verras,verra,verrons,verrez,verront,ai vu,as vu,a vu,avons vu,avez vu,ont vu
prendre,取る（とる）,A1,irrégulier,avoir,prends,prends,prend,prenons,prenez,prennent,prendrai,prendras,prendra,prendrons,prendrez,prendront,ai pris,as pris,a pris,avons pris,avez pris,ont pris
apprendre,学ぶ（まなぶ）,A1,irrégulier,avoir,apprends,apprends,apprend,apprenons,apprenez,apprennent,apprendrai,apprendras,apprendra,apprendrons,apprendrez,apprendront,ai appris,as appris,a appris,avons appris,avez appris,ont appris
comprendre,理解する（りかいする）,A1,irrégulier,avoir,comprends,comprends,comprend,comprenons,comprenez,comprennent,comprendrai,comprendras,comprendra,comprendrons,comprendrez,comprendront,ai compris,as compris,a compris,avons compris,avez compris,ont compris
venir,来る（くる）,A1,irrégulier,être,viens,viens,vient,venons,venez,viennent,viendrai,viendras,viendra,viendrons,viendrez,viendront,suis venu,es venu,est venu,sommes venu,êtes venu,sont venu
devenir,〜になる,A2,irrégulier,être,deviens,deviens,devient,devenons,devenez,deviennent,deviendrai,deviendras,deviendra,deviendrons,deviendrez,deviendront,suis devenu,es devenu,est devenu,sommes devenu,êtes devenu,sont devenu
tenir,持つ（もつ）,A2,irrégulier,avoir,tiens,tiens,tient,tenons,tenez,tiennent,tiendrai,tiendras,tiendra,tiendrons,tiendrez,tiendront,ai tenu,as tenu,a tenu,avons tenu,avez tenu,ont tenu
dire,言う（いう）,A1,irrégulier,avoir,dis,dis,dit,disons,dites,disent,dirai,diras,dira,dirons,direz,diront,ai dit,as dit,a dit,avons dit,avez dit,ont dit
écrire,書く（かく）,A1,irrégulier,avoir,écris,écris,écrit,écrivons,écrivez,écrivent,écrirai,écriras,écrira,écrirons,écrirez,écriront,ai écrit,as écrit,a écrit,avons écrit,avez écrit,ont écrit
lire,読む（よむ）,A1,irrégulier,avoir,lis,lis,lit,lisons,lisez,lisent,lirai,liras,lira,lirons,lirez,liront,ai lu,as lu,a lu,avons lu,avez lu,ont lu
mettre,置く（おく）／着る（きる）,A1,irrégulier,avoir,mets,mets,met,mettons,mettez,mettent,mettrai,mettras,mettra,mettrons,mettrez,mettront,ai mis,as mis,a mis,avons mis,avez mis,ont mis
sortir,出る（でる）,A1,irrégulier,être,sors,sors,sort,sortons,sortez,sortent,sortirai,sortiras,sortira,sortirons,sortirez,sortiront,suis sorti,es sorti,est sorti,sommes sorti,êtes sorti,sont sorti
partir,出発する（しゅっぱつする）,A1,irrégulier,être,pars,pars,part,partons,partez,partent,partirai,partiras,partira,partirons,partirez,partiront,suis parti,es parti,est parti,sommes parti,êtes parti,sont parti
dormir,眠る（ねむる）,A1,irrégulier,avoir,dors,dors,dort,dormons,dormez,dorment,dormirai,dormiras,dormira,dormirons,dormirez,dormiront,ai dormi,as dormi,a dormi,avons dormi,avez dormi,ont dormi
sentir,感じる（かんじる）／匂いがする（においがする）,A2,irrégulier,avoir,sens,sens,sent,sentons,sentez,sentent,sentirai,sentiras,sentira,sentirons,sentirez,sentiront,ai senti,as senti,a senti,avons senti,avez senti,ont senti
courir,走る（はしる）,A1,irrégulier,avoir,cours,cours,court,courons,courez,courent,courrai,courras,courra,courrons,courrez,courront,ai couru,as couru,a couru,avons couru,avez couru,ont couru
boire,飲む（のむ）,A1,irrégulier,avoir,bois,bois,boit,buvons,buvez,boivent,boirai,boiras,boira,boirons,boirez,boiront,ai bu,as bu,a bu,avons bu,avez bu,ont bu
croire,信じる（しんじる）,A2,irrégulier,avoir,crois,crois,croit,croyons,croyez,croient,croirai,croiras,croira,croirons,croirez,croiront,ai cru,as cru,a cru,avons cru,avez cru,ont cru
connaître,知っている（しっている）,A1,irrégulier,avoir,connais,connais,connaît,connaissons,connaissez,connaissent,connaîtrai,connaîtras,connaîtra,connaîtrons,connaîtrez,connaîtront,ai connu,as connu,a connu,avons connu,avez connu,ont connu
vivre,生きる（いきる）,A2,irrégulier,avoir,vis,vis,vit,vivons,vivez,vivent,vivrai,vivras,vivra,vivrons,vivrez,vivront,ai vécu,as vécu,a vécu,avons vécu,avez vécu,ont vécu
suivre,ついていく／従う（したがう）,A2,irrégulier,avoir,suis,suis,suit,suivons,suivez,suivent,suivrai,suivras,suivra,suivrons,suivrez,suivront,ai suivi,as suivi,a suivi,avons suivi,avez suivi,ont suivi
rire,笑う（わらう）,A2,irrégulier,avoir,ris,ris,rit,rions,riez,rient,rirai,riras,rira,rirons,rirez,riront,ai ri,as ri,a ri,avons ri,avez ri,ont ri
envoyer,送る（おくる）,A1,irrégulier,avoir,envoie,envoies,envoie,envoyons,envoyez,envoient,enverrai,enverras,enverra,enverrons,enverrez,enverront,ai envoyé,as envoyé,a envoyé,avons envoyé,avez envoyé,ont envoyé
tomber,落ちる（おちる）／転ぶ（ころぶ）,A2,irrégulier,être,tombe,tombes,tombe,tombons,tombez,tombent,tomberai,tomberas,tombera,tomberons,tomberez,tomberont,suis tombé,es tombé,est tombé,sommes tombé,êtes tombé,sont tombé
monter,登る（のぼる）／乗る（のる）,A2,irrégulier,être,monte,montes,monte,montons,montez,montent,monterai,monteras,montera,monterons,monterez,monteront,suis monté,es monté,est monté,sommes monté,êtes monté,sont monté
rentrer,帰る（かえる）,A1,irrégulier,être,rentre,rentres,rentre,rentrons,rentrez,rentrent,rentrerai,rentreras,rentrera,rentrerons,rentrerez,rentreront,suis rentré,es rentré,est rentré,sommes rentré,êtes rentré,sont rentré
se lever,起きる（おきる）,A1,pronominal,être,me lève,te lèves,se lève,nous levons,vous levez,se lèvent,me lèverai,te lèveras,se lèvera,nous lèverons,vous lèverez,se lèveront,me suis levé,t'es levé,s'est levé,nous sommes levé,vous êtes levé,se sont levé
se laver,体を洗う（からだをあらう）,A1,pronominal,être,me lave,te laves,se lave,nous lavons,vous lavez,se lavent,me laverai,te laveras,se lavera,nous laverons,vous laverez,se laveront,me suis lavé,t'es lavé,s'est lavé,nous sommes lavé,vous êtes lavé,se sont lavé
s'habiller,服を着る（ふくをきる）,A1,pronominal,être,m'habille,t'habilles,s'habille,nous habillons,vous habillez,s'habillent,m'habillerai,t'habilleras,s'habillera,nous habillerons,vous habillerez,s'habilleront,me suis habillé,t'es habillé,s'est habillé,nous sommes habillé,vous êtes habillé,se sont habillé
se réveiller,目が覚める（めがさめる）,A1,pronominal,être,me réveille,te réveilles,se réveille,nous réveillons,vous réveillez,se réveillent,me réveillerai,te réveilleras,se réveillera,nous réveillerons,vous réveillerez,se réveilleront,me suis réveillé,t'es réveillé,s'est réveillé,nous sommes réveillé,vous êtes réveillé,se sont réveillé
se coucher,寝る（ねる）,A1,pronominal,être,me couche,te couches,se couche,nous couchons,vous couchez,se couchent,me coucherai,te coucheras,se couchera,nous coucherons,vous coucherez,se coucheront,me suis couché,t'es couché,s'est couché,nous sommes couché,vous êtes couché,se sont couché
s'appeler,〜という名前だ（なまえだ）,A1,pronominal,être,m'appelle,t'appelles,s'appelle,nous appelons,vous appelez,s'appellent,m'appellerai,t'appelleras,s'appellera,nous appellerons,vous appellerez,s'appelleront,me suis appelé,t'es appelé,s'est appelé,nous sommes appelé,vous êtes appelé,se sont appelé
s'amuser,楽しむ（たのしむ）,A1,pronominal,être,m'amuse,t'amuses,s'amuse,nous amusons,vous amusez,s'amusent,m'amuserai,t'amuseras,s'amusera,nous amuserons,vous amuserez,s'amuseront,me suis amusé,t'es amusé,s'est amusé,nous sommes amusé,vous êtes amusé,se sont amusé
se dépêcher,急ぐ（いそぐ）,A2,pronominal,être,me dépêche,te dépêches,se dépêche,nous dépêchons,vous dépêchez,se dépêchent,me dépêcherai,te dépêcheras,se dépêchera,nous dépêcherons,vous dépêcherez,se dépêcheront,me suis dépêché,t'es dépêché,s'est dépêché,nous sommes dépêché,vous êtes dépêché,se sont dépêché
