Francais,Japonais,Niveau,Categorie,Image_a_chercher
le père,父（ちち）,A1,La famille,father
la mère,母（はは）,A1,La famille,mother
le frère,兄弟（きょうだい）,A1,La famille,brother
la sœur,姉妹（しまい）,A1,La famille,sister
le grand-père,祖父（そふ）,A1,La famille,grandfather
la grand-mère,祖母（そぼ）,A1,La famille,grandmother
l'oncle,おじ,A1,La famille,uncle
la tante,おば,A1,La famille,aunt
le cousin,いとこ（男）,A1,La famille,cousin
la cousine,いとこ（女）,A1,La famille,cousin
le fils,息子（むすこ）,A1,La famille,son
la fille,娘（むすめ）,A1,La famille,daughter
le mari,夫（おっと）,A2,La famille,husband
la femme,妻（つま）,A2,La famille,wife
les parents,両親（りょうしん）,A1,La famille,parents
l'enfant,子供（こども）,A1,La famille,child
le bébé,赤ちゃん（あかちゃん）,A1,La famille,baby
le neveu,甥（おい）,A2,La famille,nephew
la nièce,姪（めい）,A2,La famille,niece
la famille,家族（かぞく）,A1,La famille,family
le beau-père,義父（ぎふ）,A2,La famille,stepfather
la belle-mère,義母（ぎぼ）,A2,La famille,stepmother
les jumeaux,双子（ふたご）,A2,La famille,twins
la tête,頭（あたま）,A1,Le corps,head
les cheveux,髪（かみ）,A1,Le corps,hair
le visage,顔（かお）,A1,Le corps,face
l'œil / les yeux,目（め）,A1,Le corps,eye
le nez,鼻（はな）,A1,Le corps,nose
la bouche,口（くち）,A1,Le corps,mouth
la dent,歯（は）,A1,Le corps,tooth
l'oreille,耳（みみ）,A1,Le corps,ear
le cou,首（くび）,A1,Le corps,neck
l'épaule,肩（かた）,A2,Le corps,shoulder
le bras,腕（うで）,A1,Le corps,arm
la main,手（て）,A1,Le corps,hand
le doigt,指（ゆび）,A1,Le corps,finger
la jambe,脚（あし）,A1,Le corps,leg
le pied,足（あし）,A1,Le corps,foot
le genou,膝（ひざ）,A2,Le corps,knee
le dos,背中（せなか）,A2,Le corps,back
le ventre,お腹（おなか）,A2,Le corps,stomach
le cœur,心臓（しんぞう）,A2,Le corps,heart
la peau,肌（はだ）,A2,Le corps,skin
le sourcil,眉（まゆ）,A2,Le corps,eyebrow
le menton,あご,A2,Le corps,chin
la poitrine,胸（むね）,A2,Le corps,chest
l'ongle,爪（つめ）,A2,Le corps,nail
le coude,肘（ひじ）,A2,Le corps,elbow
le pantalon,ズボン,A1,Les vêtements,trousers
le jean,ジーンズ,A1,Les vêtements,jeans
la robe,ワンピース,A1,Les vêtements,dress
la jupe,スカート,A1,Les vêtements,skirt
la chemise,シャツ,A1,Les vêtements,shirt
le tee-shirt,Tシャツ,A1,Les vêtements,t-shirt
le pull,セーター,A1,Les vêtements,sweater
la veste,ジャケット,A1,Les vêtements,jacket
le manteau,コート,A1,Les vêtements,coat
les chaussures,靴（くつ）,A1,Les vêtements,shoes
les baskets,スニーカー,A1,Les vêtements,sneakers
les chaussettes,靴下（くつした）,A1,Les vêtements,socks
les sous-vêtements,下着（したぎ）,A2,Les vêtements,underwear
la casquette,キャップ,A1,Les vêtements,cap
le chapeau,帽子（ぼうし）,A1,Les vêtements,hat
l'écharpe,マフラー,A2,Les vêtements,scarf
les gants,手袋（てぶくろ）,A2,Les vêtements,gloves
la ceinture,ベルト,A2,Les vêtements,belt
le short,ショートパンツ,A1,Les vêtements,shorts
le maillot de bain,水着（みずぎ）,A2,Les vêtements,swimsuit
le pyjama,パジャマ,A1,Les vêtements,pajamas
les lunettes,眼鏡（めがね）,A1,Les vêtements,glasses
le sac à dos,リュックサック,A1,Les vêtements,backpack
le bijou,宝石（ほうせき）,A2,Les vêtements,jewel
la montre,腕時計（うでどけい）,A1,Les vêtements,watch
la capuche,フード,A2,Les vêtements,hood
le pain,パン,A1,La nourriture et les boissons,bread
le beurre,バター,A1,La nourriture et les boissons,butter
la confiture,ジャム,A1,La nourriture et les boissons,jam
le fromage,チーズ,A1,La nourriture et les boissons,cheese
le lait,牛乳（ぎゅうにゅう）,A1,La nourriture et les boissons,milk
l'œuf,卵（たまご）,A1,La nourriture et les boissons,egg
le jambon,ハム,A1,La nourriture et les boissons,ham
le poulet,鶏肉（とりにく）,A1,La nourriture et les boissons,chicken
la viande,肉（にく）,A1,La nourriture et les boissons,meat
le poisson,魚（さかな）,A1,La nourriture et les boissons,fish
le riz,米（こめ）／ご飯,A1,La nourriture et les boissons,rice
les pâtes,パスタ,A1,La nourriture et les boissons,pasta
la pomme de terre,じゃがいも,A1,La nourriture et les boissons,potato
les frites,フライドポテト,A1,La nourriture et les boissons,fries
la salade,サラダ,A1,La nourriture et les boissons,salad
la tomate,トマト,A1,La nourriture et les boissons,tomato
la carotte,にんじん,A1,La nourriture et les boissons,carrot
l'oignon,たまねぎ,A1,La nourriture et les boissons,onion
l'ail,にんにく,A2,La nourriture et les boissons,garlic
le haricot vert,いんげん豆（まめ）,A2,La nourriture et les boissons,green bean
le petit pois,グリーンピース,A2,La nourriture et les boissons,pea
la pomme,りんご,A1,La nourriture et les boissons,apple
la banane,バナナ,A1,La nourriture et les boissons,banana
l'orange,オレンジ,A1,La nourriture et les boissons,orange
la fraise,いちご,A1,La nourriture et les boissons,strawberry
le raisin,ぶどう,A1,La nourriture et les boissons,grape
la poire,梨（なし）,A2,La nourriture et les boissons,pear
la pêche,桃（もも）,A2,La nourriture et les boissons,peach
le citron,レモン,A1,La nourriture et les boissons,lemon
l'ananas,パイナップル,A2,La nourriture et les boissons,pineapple
le melon,メロン,A2,La nourriture et les boissons,melon
la pastèque,スイカ,A2,La nourriture et les boissons,watermelon
la cerise,さくらんぼ,A2,La nourriture et les boissons,cherry
le chocolat,チョコレート,A1,La nourriture et les boissons,chocolate
le gâteau,ケーキ,A1,La nourriture et les boissons,cake
le biscuit,クッキー,A1,La nourriture et les boissons,biscuit
le bonbon,飴（あめ）,A1,La nourriture et les boissons,candy
la glace,アイスクリーム,A1,La nourriture et les boissons,ice cream
la crêpe,クレープ,A1,La nourriture et les boissons,crepe
le croissant,クロワッサン,A1,La nourriture et les boissons,croissant
la baguette,バゲット,A1,La nourriture et les boissons,baguette
le sucre,砂糖（さとう）,A1,La nourriture et les boissons,sugar
le sel,塩（しお）,A1,La nourriture et les boissons,salt
le poivre,こしょう,A1,La nourriture et les boissons,pepper
l'huile,油（あぶら）,A2,La nourriture et les boissons,oil
le vinaigre,酢（す）,A2,La nourriture et les boissons,vinegar
la sauce,ソース,A1,La nourriture et les boissons,sauce
la soupe,スープ,A1,La nourriture et les boissons,soup
le sandwich,サンドイッチ,A1,La nourriture et les boissons,sandwich
la pizza,ピザ,A1,La nourriture et les boissons,pizza
le hamburger,ハンバーガー,A1,La nourriture et les boissons,hamburger
le yaourt,ヨーグルト,A1,La nourriture et les boissons,yogurt
les céréales,シリアル,A1,La nourriture et les boissons,cereal
le miel,はちみつ,A2,La nourriture et les boissons,honey
la farine,小麦粉（こむぎこ）,A2,La nourriture et les boissons,flour
l'eau,水（みず）,A1,La nourriture et les boissons,water
le jus de fruit,フルーツジュース,A1,La nourriture et les boissons,fruit juice
le soda,ソーダ,A1,La nourriture et les boissons,soda
le café,コーヒー,A1,La nourriture et les boissons,coffee
le thé,お茶（おちゃ）,A1,La nourriture et les boissons,tea
le chocolat chaud,ホットチョコレート,A1,La nourriture et les boissons,hot chocolate
le vin,ワイン,A2,La nourriture et les boissons,wine
la bière,ビール,A2,La nourriture et les boissons,beer
le petit-déjeuner,朝食（ちょうしょく）,A1,La nourriture et les boissons,breakfast
le déjeuner,昼食（ちゅうしょく）,A1,La nourriture et les boissons,lunch
le dîner,夕食（ゆうしょく）,A1,La nourriture et les boissons,dinner
le goûter,おやつ,A1,La nourriture et les boissons,afternoon snack
le repas,食事（しょくじ）,A1,La nourriture et les boissons,meal
l'assiette,皿（さら）,A1,La nourriture et les boissons,plate
le verre,コップ,A1,La nourriture et les boissons,glass
la tasse,カップ,A1,La nourriture et les boissons,cup
le couteau,ナイフ,A1,La nourriture et les boissons,knife
la fourchette,フォーク,A1,La nourriture et les boissons,fork
la cuillère,スプーン,A1,La nourriture et les boissons,spoon
la serviette,ナプキン／タオル,A1,La nourriture et les boissons,napkin
la nappe,テーブルクロス,A2,La nourriture et les boissons,tablecloth
le restaurant,レストラン,A1,La nourriture et les boissons,restaurant
la cantine,給食室（きゅうしょくしつ）,A1,La nourriture et les boissons,school canteen
la cuisine,台所（だいどころ）／料理,A1,La nourriture et les boissons,kitchen
la recette,レシピ,A2,La nourriture et les boissons,recipe
l'épicerie,食料品店（しょくりょうひんてん）,A2,La nourriture et les boissons,grocery store
le supermarché,スーパー,A1,La nourriture et les boissons,supermarket
la boulangerie,パン屋（や）,A1,La nourriture et les boissons,bakery
la boucherie,肉屋（にくや）,A2,La nourriture et les boissons,butcher shop
le dessert,デザート,A1,La nourriture et les boissons,dessert
l'entrée,前菜（ぜんさい）,A2,La nourriture et les boissons,starter
le plat principal,メイン料理,A2,La nourriture et les boissons,main course
le menu,メニュー,A1,La nourriture et les boissons,menu
l'addition,お会計（おかいけい）,A2,La nourriture et les boissons,bill
le pourboire,チップ,A2,La nourriture et les boissons,tip
la faim,空腹（くうふく）,A1,La nourriture et les boissons,hunger
la soif,喉の渇き（のどのかわき）,A1,La nourriture et les boissons,thirst
sucré,甘い（あまい）,A1,La nourriture et les boissons,sweet
salé,しょっぱい,A1,La nourriture et les boissons,salty
épicé,辛い（からい）,A2,La nourriture et les boissons,spicy
amer,苦い（にがい）,A2,La nourriture et les boissons,bitter
délicieux,美味しい（おいしい）,A1,La nourriture et les boissons,delicious
cuit,火が通った,A2,La nourriture et les boissons,cooked
cru,生（なま）の,A2,La nourriture et les boissons,raw
la maison,家（いえ）,A1,La maison,house
l'appartement,アパート,A1,La maison,apartment
la chambre,寝室（しんしつ）,A1,La maison,bedroom
le salon,リビング,A1,La maison,living room
la salle de bain,浴室（よくしつ）,A1,La maison,bathroom
les toilettes,トイレ,A1,La maison,toilet
le garage,車庫（しゃこ）,A1,La maison,garage
le jardin,庭（にわ）,A1,La maison,garden
le balcon,バルコニー,A2,La maison,balcony
l'escalier,階段（かいだん）,A1,La maison,stairs
la porte,ドア,A1,La maison,door
la fenêtre,窓（まど）,A1,La maison,window
le mur,壁（かべ）,A1,La maison,wall
le toit,屋根（やね）,A2,La maison,roof
le sol,床（ゆか）,A2,La maison,floor
le plafond,天井（てんじょう）,A2,La maison,ceiling
le lit,ベッド,A1,La maison,bed
l'oreiller,枕（まくら）,A1,La maison,pillow
la couverture,毛布（もうふ）,A1,La maison,blanket
le drap,シーツ,A2,La maison,bedsheet
l'armoire,クローゼット,A2,La maison,wardrobe
la commode,たんす,A2,La maison,chest of drawers
le bureau,机（つくえ）,A1,La maison,desk
la chaise,椅子（いす）,A1,La maison,chair
la table,テーブル,A1,La maison,table
le canapé,ソファー,A1,La maison,sofa
le fauteuil,肘掛け椅子（ひじかけいす）,A2,La maison,armchair
l'étagère,棚（たな）,A2,La maison,shelf
la lampe,ランプ,A1,La maison,lamp
le miroir,鏡（かがみ）,A2,La maison,mirror
le tapis,じゅうたん,A2,La maison,rug
le rideau,カーテン,A2,La maison,curtain
la télévision,テレビ,A1,La maison,television
le réfrigérateur,冷蔵庫（れいぞうこ）,A1,La maison,fridge
le four,オーブン,A2,La maison,oven
le micro-ondes,電子レンジ（でんしレンジ）,A2,La maison,microwave
le lave-linge,洗濯機（せんたくき）,A2,La maison,washing machine
le lave-vaisselle,食洗機（しょくせんき）,A2,La maison,dishwasher
l'évier,流し台（ながしだい）,A2,La maison,kitchen sink
la douche,シャワー,A1,La maison,shower
la baignoire,浴槽（よくそう）,A2,La maison,bathtub
le robinet,蛇口（じゃぐち）,A2,La maison,tap
la clé,鍵（かぎ）,A1,La maison,key
la serrure,錠（じょう）,A2,La maison,lock
la poubelle,ゴミ箱（ゴミばこ）,A1,La maison,trash can
le balai,ほうき,A2,La maison,broom
l'aspirateur,掃除機（そうじき）,A2,La maison,vacuum cleaner
la plante,植物（しょくぶつ）,A1,La maison,plant
l'école,学校（がっこう）,A1,L'école,school
le collège,中学校（ちゅうがっこう）,A1,L'école,middle school
le lycée,高校（こうこう）,A1,L'école,high school
la salle de classe,教室（きょうしつ）,A1,L'école,classroom
le professeur,先生（せんせい）,A1,L'école,teacher
l'élève,生徒（せいと）,A1,L'école,student
le camarade,クラスメート,A1,L'école,classmate
le directeur,校長（こうちょう）,A2,L'école,principal
le cours,授業（じゅぎょう）,A1,L'école,class
les devoirs,宿題（しゅくだい）,A1,L'école,homework
l'examen,試験（しけん）,A1,L'école,exam
la note,成績（せいせき）,A1,L'école,grade
le cahier,ノート,A1,L'école,notebook
le livre,本（ほん）,A1,L'école,book
le stylo,ペン,A1,L'école,pen
le crayon,鉛筆（えんぴつ）,A1,L'école,pencil
la gomme,消しゴム（けしゴム）,A1,L'école,eraser
la règle,定規（じょうぎ）,A1,L'école,ruler
les ciseaux,はさみ,A1,L'école,scissors
la colle,のり,A1,L'école,glue
la trousse,筆箱（ふでばこ）,A1,L'école,pencil case
le sac,かばん,A1,L'école,bag
le tableau,黒板（こくばん）,A1,L'école,board
la craie,チョーク,A2,L'école,chalk
l'ordinateur,パソコン,A1,L'école,computer
la calculatrice,電卓（でんたく）,A1,L'école,calculator
le dictionnaire,辞書（じしょ）,A1,L'école,dictionary
l'emploi du temps,時間割（じかんわり）,A2,L'école,timetable
la récréation,休み時間（やすみじかん）,A1,L'école,recess
la bibliothèque,図書館（としょかん）,A1,L'école,library
le gymnase,体育館（たいいくかん）,A2,L'école,gym
la cour,校庭（こうてい）,A2,L'école,schoolyard
les mathématiques,数学（すうがく）,A1,L'école,math
le français,フランス語（フランスご）,A1,L'école,French
l'histoire,歴史（れきし）,A1,L'école,history
la géographie,地理（ちり）,A1,L'école,geography
les sciences,理科（りか）,A1,L'école,science
l'anglais,英語（えいご）,A1,L'école,English
l'espagnol,スペイン語（スペインご）,A2,L'école,Spanish
la musique,音楽（おんがく）,A1,L'école,music
les arts plastiques,美術（びじゅつ）,A1,L'école,art
le sport,体育（たいいく）,A1,L'école,sport
la physique,物理（ぶつり）,A2,L'école,physics
la chimie,化学（かがく）,A2,L'école,chemistry
la biologie,生物（せいぶつ）,A2,L'école,biology
la technologie,技術（ぎじゅつ）,A2,L'école,technology
l'informatique,情報科学（じょうほうかがく）,A2,L'école,computer science
la question,質問（しつもん）,A1,L'école,question
la réponse,答え（こたえ）,A1,L'école,answer
la leçon,レッスン,A1,L'école,lesson
le chapitre,章（しょう）,A2,L'école,chapter
la page,ページ,A1,L'école,page
la phrase,文（ぶん）,A1,L'école,sentence
le mot,単語（たんご）,A1,L'école,word
la lettre,文字（もじ）,A1,L'école,letter
l'exercice,練習問題（れんしゅうもんだい）,A1,L'école,exercise
le contrôle,小テスト（しょうテスト）,A1,L'école,test
le brevet,中学卒業資格（ちゅうがくそつぎょうしかく）,A2,L'école,middle school diploma
le baccalauréat,バカロレア,A2,L'école,high school diploma
la rentrée,新学期（しんがっき）,A2,L'école,back to school
zéro,ゼロ／零,A1,Les nombres,zero
un,一（いち）,A1,Les nombres,one
deux,二（に）,A1,Les nombres,two
trois,三（さん）,A1,Les nombres,three
quatre,四（よん）,A1,Les nombres,four
cinq,五（ご）,A1,Les nombres,five
six,六（ろく）,A1,Les nombres,six
sept,七（なな）,A1,Les nombres,seven
huit,八（はち）,A1,Les nombres,eight
neuf,九（きゅう）,A1,Les nombres,nine
dix,十（じゅう）,A1,Les nombres,ten
onze,十一（じゅういち）,A1,Les nombres,eleven
douze,十二（じゅうに）,A1,Les nombres,twelve
treize,十三（じゅうさん）,A1,Les nombres,thirteen
quatorze,十四（じゅうよん）,A1,Les nombres,fourteen
quinze,十五（じゅうご）,A1,Les nombres,fifteen
seize,十六（じゅうろく）,A1,Les nombres,sixteen
dix-sept,十七（じゅうなな）,A1,Les nombres,seventeen
dix-huit,十八（じゅうはち）,A1,Les nombres,eighteen
dix-neuf,十九（じゅうきゅう）,A1,Les nombres,nineteen
vingt,二十（にじゅう）,A1,Les nombres,twenty
trente,三十（さんじゅう）,A1,Les nombres,thirty
quarante,四十（よんじゅう）,A1,Les nombres,forty
cinquante,五十（ごじゅう）,A1,Les nombres,fifty
soixante,六十（ろくじゅう）,A1,Les nombres,sixty
soixante-dix,七十（ななじゅう）,A2,Les nombres,seventy
quatre-vingts,八十（はちじゅう）,A2,Les nombres,eighty
quatre-vingt-dix,九十（きゅうじゅう）,A2,Les nombres,ninety
cent,百（ひゃく）,A1,Les nombres,one hundred
mille,千（せん）,A2,Les nombres,one thousand
premier,一番目（いちばんめ）,A1,Les nombres,first
deuxième,二番目（にばんめ）,A1,Les nombres,second
troisième,三番目（さんばんめ）,A1,Les nombres,third
dernier,最後（さいご）,A2,Les nombres,last
la moitié,半分（はんぶん）,A2,Les nombres,half
le tiers,三分の一（さんぶんのいち）,A2,Les nombres,third
le quart,四分の一（よんぶんのいち）,A2,Les nombres,quarter
le nombre,数（かず）,A1,Les nombres,number
le chiffre,数字（すうじ）,A2,Les nombres,digit
la paire,一組（ひとくみ）,A2,Les nombres,pair
lundi,月曜日（げつようび）,A1,Le temps et le calendrier,Monday
mardi,火曜日（かようび）,A1,Le temps et le calendrier,Tuesday
mercredi,水曜日（すいようび）,A1,Le temps et le calendrier,Wednesday
jeudi,木曜日（もくようび）,A1,Le temps et le calendrier,Thursday
vendredi,金曜日（きんようび）,A1,Le temps et le calendrier,Friday
samedi,土曜日（どようび）,A1,Le temps et le calendrier,Saturday
dimanche,日曜日（にちようび）,A1,Le temps et le calendrier,Sunday
janvier,一月（いちがつ）,A1,Le temps et le calendrier,January
février,二月（にがつ）,A1,Le temps et le calendrier,February
mars,三月（さんがつ）,A1,Le temps et le calendrier,March
avril,四月（しがつ）,A1,Le temps et le calendrier,April
mai,五月（ごがつ）,A1,Le temps et le calendrier,May
juin,六月（ろくがつ）,A1,Le temps et le calendrier,June
juillet,七月（しちがつ）,A1,Le temps et le calendrier,July
août,八月（はちがつ）,A1,Le temps et le calendrier,August
septembre,九月（くがつ）,A1,Le temps et le calendrier,September
octobre,十月（じゅうがつ）,A1,Le temps et le calendrier,October
novembre,十一月（じゅういちがつ）,A1,Le temps et le calendrier,November
décembre,十二月（じゅうにがつ）,A1,Le temps et le calendrier,December
le printemps,春（はる）,A1,Le temps et le calendrier,spring
l'été,夏（なつ）,A1,Le temps et le calendrier,summer
l'automne,秋（あき）,A1,Le temps et le calendrier,autumn
l'hiver,冬（ふゆ）,A1,Le temps et le calendrier,winter
le jour,日（ひ）,A1,Le temps et le calendrier,day
la semaine,週（しゅう）,A1,Le temps et le calendrier,week
le mois,月（つき）,A1,Le temps et le calendrier,month
l'année,年（ねん）,A1,Le temps et le calendrier,year
l'heure,時間（じかん）,A1,Le temps et le calendrier,hour
la minute,分（ふん）,A1,Le temps et le calendrier,minute
la seconde,秒（びょう）,A1,Le temps et le calendrier,second
le matin,朝（あさ）,A1,Le temps et le calendrier,morning
l'après-midi,午後（ごご）,A1,Le temps et le calendrier,afternoon
le soir,夜（よる）,A1,Le temps et le calendrier,evening
la nuit,夜中（よなか）,A1,Le temps et le calendrier,night
aujourd'hui,今日（きょう）,A1,Le temps et le calendrier,today
demain,明日（あした）,A1,Le temps et le calendrier,tomorrow
hier,昨日（きのう）,A1,Le temps et le calendrier,yesterday
maintenant,今（いま）,A1,Le temps et le calendrier,now
bientôt,すぐに,A1,Le temps et le calendrier,soon
tard,遅く（おそく）,A1,Le temps et le calendrier,late
tôt,早く（はやく）,A1,Le temps et le calendrier,early
toujours,いつも,A1,Le temps et le calendrier,always
jamais,決して〜ない,A1,Le temps et le calendrier,never
souvent,よく,A1,Le temps et le calendrier,often
parfois,時々（ときどき）,A1,Le temps et le calendrier,sometimes
le calendrier,カレンダー,A2,Le temps et le calendrier,calendar
la date,日付（ひづけ）,A1,Le temps et le calendrier,date
l'anniversaire,誕生日（たんじょうび）,A1,Le temps et le calendrier,birthday
les vacances,休暇（きゅうか）,A1,Le temps et le calendrier,vacation
le week-end,週末（しゅうまつ）,A1,Le temps et le calendrier,weekend
rouge,赤（あか）,A1,Les couleurs et les formes,red
bleu,青（あお）,A1,Les couleurs et les formes,blue
vert,緑（みどり）,A1,Les couleurs et les formes,green
jaune,黄色（きいろ）,A1,Les couleurs et les formes,yellow
orange,オレンジ色（オレンジいろ）,A1,Les couleurs et les formes,orange
violet,紫（むらさき）,A1,Les couleurs et les formes,purple
rose,ピンク,A1,Les couleurs et les formes,pink
noir,黒（くろ）,A1,Les couleurs et les formes,black
blanc,白（しろ）,A1,Les couleurs et les formes,white
gris,灰色（はいいろ）,A1,Les couleurs et les formes,grey
marron,茶色（ちゃいろ）,A1,Les couleurs et les formes,brown
le cercle,円（えん）,A1,Les couleurs et les formes,circle
le carré,四角（しかく）,A1,Les couleurs et les formes,square
le triangle,三角形（さんかくけい）,A1,Les couleurs et les formes,triangle
le rectangle,長方形（ちょうほうけい）,A1,Les couleurs et les formes,rectangle
le losange,ひし形（ひしがた）,A2,Les couleurs et les formes,diamond shape
l'étoile,星（ほし）,A1,Les couleurs et les formes,star
la ligne,線（せん）,A2,Les couleurs et les formes,line
l'ovale,楕円（だえん）,A2,Les couleurs et les formes,oval
le soleil,太陽（たいよう）,A1,La météo,sun
la pluie,雨（あめ）,A1,La météo,rain
le nuage,雲（くも）,A1,La météo,cloud
le vent,風（かぜ）,A1,La météo,wind
la neige,雪（ゆき）,A1,La météo,snow
l'orage,嵐（あらし）,A2,La météo,storm
le brouillard,霧（きり）,A2,La météo,fog
l'arc-en-ciel,虹（にじ）,A2,La météo,rainbow
chaud,暑い（あつい）,A1,La météo,hot
froid,寒い（さむい）,A1,La météo,cold
doux,穏やか（おだやか）,A2,La météo,mild
humide,湿った（しめった）,A2,La météo,humid
sec,乾いた（かわいた）,A2,La météo,dry
la tempête,暴風雨（ぼうふうう）,A2,La météo,storm
l'éclair,稲妻（いなずま）,A2,La météo,lightning
le tonnerre,雷（かみなり）,A2,La météo,thunder
le ciel,空（そら）,A1,La météo,sky
la température,気温（きおん）,A2,La météo,temperature
le gel,霜（しも）,A2,La météo,frost
le chien,犬（いぬ）,A1,Les animaux,dog
le chat,猫（ねこ）,A1,Les animaux,cat
le cheval,馬（うま）,A1,Les animaux,horse
la vache,牛（うし）,A1,Les animaux,cow
le cochon,豚（ぶた）,A1,Les animaux,pig
le mouton,羊（ひつじ）,A1,Les animaux,sheep
la chèvre,ヤギ,A2,Les animaux,goat
la poule,雌鶏（めんどり）,A1,Les animaux,hen
le coq,雄鶏（おんどり）,A2,Les animaux,rooster
le canard,アヒル,A1,Les animaux,duck
le lapin,うさぎ,A1,Les animaux,rabbit
la souris,ねずみ,A1,Les animaux,mouse
l'oiseau,鳥（とり）,A1,Les animaux,bird
la tortue,亀（かめ）,A1,Les animaux,turtle
le serpent,蛇（へび）,A1,Les animaux,snake
la grenouille,カエル,A1,Les animaux,frog
l'araignée,クモ,A1,Les animaux,spider
l'abeille,蜂（はち）,A1,Les animaux,bee
le papillon,蝶（ちょう）,A1,Les animaux,butterfly
la mouche,ハエ,A2,Les animaux,fly
la fourmi,アリ,A2,Les animaux,ant
le lion,ライオン,A1,Les animaux,lion
le tigre,トラ,A1,Les animaux,tiger
l'éléphant,象（ぞう）,A1,Les animaux,elephant
la girafe,キリン,A1,Les animaux,giraffe
le singe,猿（さる）,A1,Les animaux,monkey
l'ours,熊（くま）,A1,Les animaux,bear
le loup,オオカミ,A2,Les animaux,wolf
le renard,キツネ,A2,Les animaux,fox
le cerf,鹿（しか）,A2,Les animaux,deer
l'écureuil,リス,A2,Les animaux,squirrel
le hérisson,ハリネズミ,A2,Les animaux,hedgehog
le dauphin,イルカ,A1,Les animaux,dolphin
le requin,サメ,A1,Les animaux,shark
la baleine,クジラ,A2,Les animaux,whale
le crocodile,ワニ,A1,Les animaux,crocodile
le kangourou,カンガルー,A2,Les animaux,kangaroo
le zèbre,シマウマ,A2,Les animaux,zebra
le chameau,ラクダ,A2,Les animaux,camel
le pingouin,ペンギン,A1,Les animaux,penguin
le hibou,フクロウ,A2,Les animaux,owl
le perroquet,オウム,A2,Les animaux,parrot
l'escargot,カタツムリ,A2,Les animaux,snail
le crabe,カニ,A2,Les animaux,crab
la panthère,ヒョウ,A2,Les animaux,panther
le koala,コアラ,A2,Les animaux,koala
l'arbre,木（き）,A1,La nature,tree
la fleur,花（はな）,A1,La nature,flower
la feuille,葉（は）,A1,La nature,leaf
l'herbe,草（くさ）,A1,La nature,grass
la forêt,森（もり）,A1,La nature,forest
la montagne,山（やま）,A1,La nature,mountain
la rivière,川（かわ）,A1,La nature,river
le lac,湖（みずうみ）,A1,La nature,lake
la mer,海（うみ）,A1,La nature,sea
l'océan,大洋（たいよう）,A1,La nature,ocean
la plage,浜辺（はまべ）,A1,La nature,beach
le sable,砂（すな）,A1,La nature,sand
l'île,島（しま）,A2,La nature,island
le désert,砂漠（さばく）,A2,La nature,desert
la lune,月（つき）,A1,La nature,moon
la terre,地面（じめん）,A1,La nature,earth
la roche,岩（いわ）,A2,La nature,rock
la vallée,谷（たに）,A2,La nature,valley
la colline,丘（おか）,A2,La nature,hill
le volcan,火山（かざん）,A2,La nature,volcano
la cascade,滝（たき）,A2,La nature,waterfall
la jungle,ジャングル,A2,La nature,jungle
la campagne,田舎（いなか）,A1,La nature,countryside
la ferme,農場（のうじょう）,A1,La nature,farm
le champ,畑（はたけ）,A2,La nature,field
la ville,街（まち）,A1,La ville et les lieux,city
le village,村（むら）,A1,La ville et les lieux,village
