Francais,Japonais,Niveau,Categorie,Image_a_chercher
la rue,通り（とおり）,A1,La ville et les lieux,street
l'avenue,大通り（おおどおり）,A2,La ville et les lieux,avenue
la place,広場（ひろば）,A1,La ville et les lieux,square
le pont,橋（はし）,A1,La ville et les lieux,bridge
l'immeuble,ビル,A1,La ville et les lieux,building
le magasin,店（みせ）,A1,La ville et les lieux,shop
le marché,市場（いちば）,A1,La ville et les lieux,market
la banque,銀行（ぎんこう）,A1,La ville et les lieux,bank
la poste,郵便局（ゆうびんきょく）,A1,La ville et les lieux,post office
l'hôpital,病院（びょういん）,A1,La ville et les lieux,hospital
la pharmacie,薬局（やっきょく）,A1,La ville et les lieux,pharmacy
la mairie,市役所（しやくしょ）,A2,La ville et les lieux,town hall
l'église,教会（きょうかい）,A2,La ville et les lieux,church
le musée,美術館／博物館,A1,La ville et les lieux,museum
le cinéma,映画館（えいがかん）,A1,La ville et les lieux,cinema
le théâtre,劇場（げきじょう）,A2,La ville et les lieux,theater
le parc,公園（こうえん）,A1,La ville et les lieux,park
la piscine,プール,A1,La ville et les lieux,swimming pool
le stade,スタジアム,A1,La ville et les lieux,stadium
l'aéroport,空港（くうこう）,A1,La ville et les lieux,airport
la gare,駅（えき）,A1,La ville et les lieux,train station
l'arrêt de bus,バス停（バスてい）,A1,La ville et les lieux,bus stop
la station de métro,地下鉄の駅（ちかてつのえき）,A2,La ville et les lieux,metro station
l'hôtel,ホテル,A1,La ville et les lieux,hotel
le centre commercial,ショッピングモール,A1,La ville et les lieux,shopping mall
le zoo,動物園（どうぶつえん）,A1,La ville et les lieux,zoo
le quartier,地区（ちく）,A2,La ville et les lieux,neighborhood
le trottoir,歩道（ほどう）,A2,La ville et les lieux,sidewalk
le feu rouge,信号（しんごう）,A2,La ville et les lieux,traffic light
le panneau,標識（ひょうしき）,A2,La ville et les lieux,sign
le carrefour,交差点（こうさてん）,A2,La ville et les lieux,intersection
le coin,角（かど）,A2,La ville et les lieux,corner
l'adresse,住所（じゅうしょ）,A1,La ville et les lieux,address
le nord,北（きた）,A2,La ville et les lieux,north
le sud,南（みなみ）,A2,La ville et les lieux,south
l'est,東（ひがし）,A2,La ville et les lieux,east
l'ouest,西（にし）,A2,La ville et les lieux,west
à droite,右（みぎ）,A1,La ville et les lieux,right
à gauche,左（ひだり）,A1,La ville et les lieux,left
tout droit,まっすぐ,A2,La ville et les lieux,straight ahead
loin,遠い（とおい）,A1,La ville et les lieux,far
près,近い（ちかい）,A1,La ville et les lieux,near
la voiture,車（くるま）,A1,Les transports,car
le bus,バス,A1,Les transports,bus
le train,電車（でんしゃ）,A1,Les transports,train
l'avion,飛行機（ひこうき）,A1,Les transports,airplane
le bateau,船（ふね）,A1,Les transports,boat
le vélo,自転車（じてんしゃ）,A1,Les transports,bicycle
la moto,バイク,A1,Les transports,motorcycle
le métro,地下鉄（ちかてつ）,A1,Les transports,subway
le tramway,路面電車（ろめんでんしゃ）,A2,Les transports,tram
le taxi,タクシー,A1,Les transports,taxi
le camion,トラック,A2,Les transports,truck
le scooter,スクーター,A1,Les transports,scooter
la trottinette,キックボード,A1,Les transports,kick scooter
la roue,車輪（しゃりん）,A2,Les transports,wheel
le moteur,エンジン,A2,Les transports,engine
l'essence,ガソリン,A2,Les transports,gasoline
le billet,切符（きっぷ）,A1,Les transports,ticket
le conducteur,運転手（うんてんしゅ）,A2,Les transports,driver
le passager,乗客（じょうきゃく）,A2,Les transports,passenger
la ceinture de sécurité,シートベルト,A2,Les transports,seatbelt
le permis de conduire,運転免許（うんてんめんきょ）,A2,Les transports,driver's license
l'autoroute,高速道路（こうそくどうろ）,A2,Les transports,highway
la route,道（みち）,A1,Les transports,road
l'embouteillage,渋滞（じゅうたい）,A2,Les transports,traffic jam
le retard,遅れ（おくれ）,A2,Les transports,delay
le téléphone,電話（でんわ）,A1,La technologie,phone
le portable,携帯電話（けいたいでんわ）,A1,La technologie,cellphone
le smartphone,スマートフォン,A1,La technologie,smartphone
la tablette,タブレット,A1,La technologie,tablet
l'écran,画面（がめん）,A1,La technologie,screen
le clavier,キーボード,A2,La technologie,keyboard
la souris (informatique),マウス,A2,La technologie,mouse (computer)
internet,インターネット,A1,La technologie,internet
le wifi,ワイファイ,A1,La technologie,wifi
l'application,アプリ,A1,La technologie,app
le réseau social,SNS,A1,La technologie,social network
le message,メッセージ,A1,La technologie,message
l'appel,電話（でんわ）,A1,La technologie,phone call
la photo,写真（しゃしん）,A1,La technologie,photo
la vidéo,動画（どうが）,A1,La technologie,video
le jeu vidéo,テレビゲーム,A1,La technologie,video game
le casque,ヘッドホン,A2,La technologie,headset
les écouteurs,イヤホン,A1,La technologie,earphones
la batterie,バッテリー,A1,La technologie,battery
le chargeur,充電器（じゅうでんき）,A1,La technologie,charger
le mot de passe,パスワード,A1,La technologie,password
le compte,アカウント,A1,La technologie,account
l'e-mail,メール,A1,La technologie,email
le réseau,ネットワーク,A2,La technologie,network
le site web,ウェブサイト,A1,La technologie,website
télécharger,ダウンロードする,A2,La technologie,to download
envoyer,送る（おくる）,A1,La technologie,to send
recevoir,受け取る（うけとる）,A2,La technologie,to receive
la caméra,カメラ,A1,La technologie,camera
le haut-parleur,スピーカー,A2,La technologie,speaker
l'imprimante,プリンター,A2,La technologie,printer
la clé USB,USBメモリ,A2,La technologie,USB drive
les données,データ,A2,La technologie,data
la connexion,接続（せつぞく）,A2,La technologie,connection
le football,サッカー,A1,Les sports et loisirs,soccer
le basketball,バスケットボール,A1,Les sports et loisirs,basketball
le tennis,テニス,A1,Les sports et loisirs,tennis
la natation,水泳（すいえい）,A1,Les sports et loisirs,swimming
la course à pied,ランニング,A1,Les sports et loisirs,running
la danse,ダンス,A1,Les sports et loisirs,dance
le dessin,絵（え）,A1,Les sports et loisirs,drawing
la peinture,絵画（かいが）,A1,Les sports et loisirs,painting
la lecture,読書（どくしょ）,A1,Les sports et loisirs,reading
l'équipe,チーム,A1,Les sports et loisirs,team
le match,試合（しあい）,A1,Les sports et loisirs,match
l'entraînement,練習（れんしゅう）,A2,Les sports et loisirs,training
le ballon,ボール,A1,Les sports et loisirs,ball
le terrain,コート／グラウンド,A2,Les sports et loisirs,field
le champion,チャンピオン,A2,Les sports et loisirs,champion
la victoire,勝利（しょうり）,A2,Les sports et loisirs,victory
la défaite,敗北（はいぼく）,A2,Les sports et loisirs,defeat
le score,得点（とくてん）,A1,Les sports et loisirs,score
l'arbitre,審判（しんぱん）,A2,Les sports et loisirs,referee
le joueur,選手（せんしゅ）,A1,Les sports et loisirs,player
le spectateur,観客（かんきゃく）,A2,Les sports et loisirs,spectator
la randonnée,ハイキング,A2,Les sports et loisirs,hiking
le camping,キャンプ,A1,Les sports et loisirs,camping
le ski,スキー,A1,Les sports et loisirs,skiing
le patinage,スケート,A2,Les sports et loisirs,skating
l'escalade,クライミング,A2,Les sports et loisirs,climbing
le yoga,ヨガ,A2,Les sports et loisirs,yoga
les arts martiaux,武道（ぶどう）,A2,Les sports et loisirs,martial arts
le rugby,ラグビー,A1,Les sports et loisirs,rugby
le volleyball,バレーボール,A1,Les sports et loisirs,volleyball
le handball,ハンドボール,A1,Les sports et loisirs,handball
l'athlétisme,陸上競技（りくじょうきょうぎ）,A2,Les sports et loisirs,track and field
la gymnastique,体操（たいそう）,A1,Les sports et loisirs,gymnastics
les échecs,チェス,A2,Les sports et loisirs,chess
les cartes,トランプ,A1,Les sports et loisirs,cards
l'instrument de musique,楽器（がっき）,A1,Les sports et loisirs,musical instrument
la guitare,ギター,A1,Les sports et loisirs,guitar
le piano,ピアノ,A1,Les sports et loisirs,piano
la batterie (instrument),ドラム,A1,Les sports et loisirs,drums
le chant,歌（うた）,A2,Les sports et loisirs,singing
le groupe,バンド,A1,Les sports et loisirs,band
le concert,コンサート,A1,Les sports et loisirs,concert
le festival,フェスティバル,A2,Les sports et loisirs,festival
heureux,幸せ（しあわせ）な,A1,Les émotions et la personnalité,happy
triste,悲しい（かなしい）,A1,Les émotions et la personnalité,sad
content,嬉しい（うれしい）,A1,Les émotions et la personnalité,glad
fâché,怒った（おこった）,A1,Les émotions et la personnalité,angry
énervé,イライラした,A2,Les émotions et la personnalité,annoyed
fatigué,疲れた（つかれた）,A1,Les émotions et la personnalité,tired
stressé,ストレスがたまった,A2,Les émotions et la personnalité,stressed
inquiet,心配な（しんぱいな）,A2,Les émotions et la personnalité,worried
effrayé,怖がった（こわがった）,A2,Les émotions et la personnalité,scared
surpris,驚いた（おどろいた）,A2,Les émotions et la personnalité,surprised
amoureux,恋している（こいしている）,A2,Les émotions et la personnalité,in love
jaloux,嫉妬した（しっとした）,A2,Les émotions et la personnalité,jealous
timide,内気な（うちきな）,A1,Les émotions et la personnalité,shy
gêné,恥ずかしい（はずかしい）,A2,Les émotions et la personnalité,embarrassed
fier,誇りに思う（ほこりにおもう）,A2,Les émotions et la personnalité,proud
déçu,がっかりした,A2,Les émotions et la personnalité,disappointed
excité,興奮した（こうふんした）,A2,Les émotions et la personnalité,excited
calme,落ち着いた（おちついた）,A1,Les émotions et la personnalité,calm
nerveux,緊張した（きんちょうした）,A2,Les émotions et la personnalité,nervous
gentil,優しい（やさしい）,A1,Les émotions et la personnalité,kind
méchant,意地悪な（いじわるな）,A1,Les émotions et la personnalité,mean
drôle,面白い（おもしろい）,A1,Les émotions et la personnalité,funny
sérieux,真面目な（まじめな）,A1,Les émotions et la personnalité,serious
intelligent,頭がいい（あたまがいい）,A1,Les émotions et la personnalité,smart
curieux,好奇心旺盛な（こうきしんおうせいな）,A2,Les émotions et la personnalité,curious
patient,忍耐強い（にんたいづよい）,A2,Les émotions et la personnalité,patient
impatient,せっかちな,A2,Les émotions et la personnalité,impatient
généreux,寛大な（かんだいな）,A2,Les émotions et la personnalité,generous
égoïste,わがままな,A2,Les émotions et la personnalité,selfish
honnête,正直な（しょうじきな）,A2,Les émotions et la personnalité,honest
courageux,勇敢な（ゆうかんな）,A2,Les émotions et la personnalité,brave
sociable,社交的な（しゃこうてきな）,A2,Les émotions et la personnalité,sociable
sympathique,感じがいい（かんじがいい）,A1,Les émotions et la personnalité,nice
optimiste,楽観的な（らっかんてきな）,A2,Les émotions et la personnalité,optimistic
pessimiste,悲観的な（ひかんてきな）,A2,Les émotions et la personnalité,pessimistic
sensible,繊細な（せんさいな）,A2,Les émotions et la personnalité,sensitive
têtu,頑固な（がんこな）,A2,Les émotions et la personnalité,stubborn
poli,礼儀正しい（れいぎただしい）,A1,Les émotions et la personnalité,polite
impoli,失礼な（しつれいな）,A2,Les émotions et la personnalité,impolite
sage,おとなしい,A2,Les émotions et la personnalité,well-behaved
confiant,自信がある（じしんがある）,A2,Les émotions et la personnalité,confident
le sourire,笑顔（えがお）,A1,Les émotions et la personnalité,smile
le rire,笑い（わらい）,A1,Les émotions et la personnalité,laughter
pleurer,泣く（なく）,A1,Les émotions et la personnalité,to cry
la peur,恐怖（きょうふ）,A1,Les émotions et la personnalité,fear
la joie,喜び（よろこび）,A1,Les émotions et la personnalité,joy
la colère,怒り（いかり）,A1,Les émotions et la personnalité,anger
la tristesse,悲しみ（かなしみ）,A2,Les émotions et la personnalité,sadness
l'amour,愛（あい）,A1,Les émotions et la personnalité,love
l'amitié,友情（ゆうじょう）,A1,Les émotions et la personnalité,friendship
l'espoir,希望（きぼう）,A2,Les émotions et la personnalité,hope
la confiance,信頼（しんらい）,A2,Les émotions et la personnalité,confidence
le stress,ストレス,A2,Les émotions et la personnalité,stress
le médecin,医者（いしゃ）,A1,Les métiers,doctor
l'infirmier,看護師（かんごし）,A1,Les métiers,nurse
le dentiste,歯医者（はいしゃ）,A1,Les métiers,dentist
l'avocat,弁護士（べんごし）,A2,Les métiers,lawyer
le policier,警察官（けいさつかん）,A1,Les métiers,police officer
le pompier,消防士（しょうぼうし）,A1,Les métiers,firefighter
l'ingénieur,エンジニア,A2,Les métiers,engineer
l'architecte,建築家（けんちくか）,A2,Les métiers,architect
le cuisinier,料理人（りょうりにん）,A1,Les métiers,cook
le boulanger,パン屋さん（パンやさん）,A1,Les métiers,baker
le coiffeur,美容師（びようし）,A2,Les métiers,hairdresser
le vendeur,店員（てんいん）,A1,Les métiers,salesperson
le caissier,レジ係（レジがかり）,A2,Les métiers,cashier
le mécanicien,整備士（せいびし）,A2,Les métiers,mechanic
l'agriculteur,農家（のうか）,A2,Les métiers,farmer
le pilote,パイロット,A1,Les métiers,pilot
le chauffeur,運転手（うんてんしゅ）,A1,Les métiers,driver
le facteur,郵便配達員（ゆうびんはいたついん）,A2,Les métiers,mail carrier
le journaliste,ジャーナリスト,A2,Les métiers,journalist
l'écrivain,作家（さっか）,A2,Les métiers,writer
l'artiste,芸術家（げいじゅつか）,A1,Les métiers,artist
le musicien,音楽家（おんがくか）,A1,Les métiers,musician
le chanteur,歌手（かしゅ）,A1,Les métiers,singer
l'acteur,俳優（はいゆう）,A1,Les métiers,actor
le réalisateur,映画監督（えいがかんとく）,A2,Les métiers,film director
le photographe,写真家（しゃしんか）,A2,Les métiers,photographer
l'informaticien,エンジニア（IT）,A2,Les métiers,IT specialist
le scientifique,科学者（かがくしゃ）,A2,Les métiers,scientist
le comptable,会計士（かいけいし）,A2,Les métiers,accountant
l'employé,会社員（かいしゃいん）,A2,Les métiers,employee
le patron,上司（じょうし）,A2,Les métiers,boss
le secrétaire,秘書（ひしょ）,A2,Les métiers,secretary
le vétérinaire,獣医（じゅうい）,A1,Les métiers,veterinarian
le pharmacien,薬剤師（やくざいし）,A2,Les métiers,pharmacist
l'électricien,電気技師（でんきぎし）,A2,Les métiers,electrician
le plombier,配管工（はいかんこう）,A2,Les métiers,plumber
l'argent,お金（おかね）,A1,Les achats et l'argent,money
l'euro,ユーロ,A1,Les achats et l'argent,euro
le centime,サンチーム,A2,Les achats et l'argent,cent
le prix,値段（ねだん）,A1,Les achats et l'argent,price
cher,高い（たかい）,A1,Les achats et l'argent,expensive
bon marché,安い（やすい）,A2,Les achats et l'argent,cheap
gratuit,無料（むりょう）,A1,Les achats et l'argent,free
la monnaie,小銭（こぜに）,A2,Les achats et l'argent,change
le portefeuille,財布（さいふ）,A1,Les achats et l'argent,wallet
la carte bancaire,銀行カード（ぎんこうカード）,A2,Les achats et l'argent,bank card
la caisse,レジ,A2,Les achats et l'argent,checkout
le reçu,レシート,A2,Les achats et l'argent,receipt
la réduction,割引（わりびき）,A2,Les achats et l'argent,discount
les soldes,セール,A2,Les achats et l'argent,sales
l'achat,買い物（かいもの）,A2,Les achats et l'argent,purchase
le client,客（きゃく）,A1,Les achats et l'argent,customer
la boutique,ブティック,A1,Les achats et l'argent,shop
la taille,サイズ,A1,Les achats et l'argent,size
essayer,試着する（しちゃくする）,A2,Les achats et l'argent,to try on
payer,払う（はらう）,A1,Les achats et l'argent,to pay
coûter,（値段が）かかる,A1,Les achats et l'argent,to cost
dépenser,使う（つかう）,A2,Les achats et l'argent,to spend
économiser,貯める（ためる）,A2,Les achats et l'argent,to save
le budget,予算（よさん）,A2,Les achats et l'argent,budget
le cadeau,プレゼント,A1,Les achats et l'argent,gift
le panier,かご,A1,Les achats et l'argent,basket
le chariot,カート,A2,Les achats et l'argent,shopping cart
l'argent de poche,お小遣い（おこづかい）,A2,Les achats et l'argent,pocket money
grand,大きい（おおきい）,A1,Adjectifs courants,tall
petit,小さい（ちいさい）,A1,Adjectifs courants,small
gros,太い（ふとい）,A1,Adjectifs courants,big
mince,細い（ほそい）,A2,Adjectifs courants,thin
long,長い（ながい）,A1,Adjectifs courants,long
court,短い（みじかい）,A1,Adjectifs courants,short
large,広い（ひろい）,A2,Adjectifs courants,wide
étroit,狭い（せまい）,A2,Adjectifs courants,narrow
haut,高い（たかい）,A2,Adjectifs courants,high
bas,低い（ひくい）,A2,Adjectifs courants,low
nouveau,新しい（あたらしい）,A1,Adjectifs courants,new
vieux,古い（ふるい）,A1,Adjectifs courants,old
jeune,若い（わかい）,A1,Adjectifs courants,young
beau,美しい（うつくしい）,A1,Adjectifs courants,beautiful
laid,醜い（みにくい）,A2,Adjectifs courants,ugly
joli,かわいい,A1,Adjectifs courants,pretty
propre,きれいな,A1,Adjectifs courants,clean
sale,汚い（きたない）,A1,Adjectifs courants,dirty
plein,いっぱいの,A1,Adjectifs courants,full
vide,空の（からの）,A1,Adjectifs courants,empty
facile,簡単な（かんたんな）,A1,Adjectifs courants,easy
difficile,難しい（むずかしい）,A1,Adjectifs courants,difficult
rapide,速い（はやい）,A1,Adjectifs courants,fast
lent,遅い（おそい）,A1,Adjectifs courants,slow
fort,強い（つよい）,A1,Adjectifs courants,strong
faible,弱い（よわい）,A2,Adjectifs courants,weak
lourd,重い（おもい）,A2,Adjectifs courants,heavy
léger,軽い（かるい）,A2,Adjectifs courants,light
dur,硬い（かたい）,A2,Adjectifs courants,hard
mou,柔らかい（やわらかい）,A2,Adjectifs courants,soft
bon,良い（いい）,A1,Adjectifs courants,good
mauvais,悪い（わるい）,A1,Adjectifs courants,bad
meilleur,より良い（よりいい）,A2,Adjectifs courants,better
important,重要な（じゅうような）,A1,Adjectifs courants,important
utile,便利な（べんりな）,A2,Adjectifs courants,useful
dangereux,危険な（きけんな）,A2,Adjectifs courants,dangerous
bruyant,うるさい,A2,Adjectifs courants,noisy
silencieux,静かな（しずかな）,A2,Adjectifs courants,silent
ouvert,開いた（あいた）,A1,Adjectifs courants,open
fermé,閉まった（しまった）,A1,Adjectifs courants,closed
correct,正しい（ただしい）,A2,Adjectifs courants,correct
faux,間違った（まちがった）,A1,Adjectifs courants,wrong
vrai,本当の（ほんとうの）,A1,Adjectifs courants,true
simple,簡単な（かんたんな）,A1,Adjectifs courants,simple
compliqué,複雑な（ふくざつな）,A2,Adjectifs courants,complicated
moderne,現代的な（げんだいてきな）,A2,Adjectifs courants,modern
ancien,古い（ふるい）,A2,Adjectifs courants,old
différent,違う（ちがう）,A1,Adjectifs courants,different
pareil,同じ（おなじ）,A2,Adjectifs courants,same
principal,主な（おもな）,A2,Adjectifs courants,main
normal,普通の（ふつうの）,A1,Adjectifs courants,normal
bizarre,変な（へんな）,A1,Adjectifs courants,weird
très,とても,A1,Adverbes et connecteurs,very
trop,〜すぎる,A1,Adverbes et connecteurs,too much
beaucoup,たくさん,A1,Adverbes et connecteurs,a lot
peu,少し（すこし）,A1,Adverbes et connecteurs,little
assez,十分に（じゅうぶんに）,A1,Adverbes et connecteurs,enough
presque,ほとんど,A2,Adverbes et connecteurs,almost
encore,まだ／もう一度,A1,Adverbes et connecteurs,again
déjà,もう,A1,Adverbes et connecteurs,already
rarement,めったに〜ない,A2,Adverbes et connecteurs,rarely
ici,ここ,A1,Adverbes et connecteurs,here
là,そこ,A1,Adverbes et connecteurs,there
là-bas,あそこ,A1,Adverbes et connecteurs,over there
partout,どこでも,A2,Adverbes et connecteurs,everywhere
ensemble,一緒に（いっしょに）,A1,Adverbes et connecteurs,together
seul,一人で（ひとりで）,A1,Adverbes et connecteurs,alone
aussi,〜も,A1,Adverbes et connecteurs,also
mais,でも,A1,Adverbes et connecteurs,but
donc,だから,A2,Adverbes et connecteurs,so
alors,それでは,A1,Adverbes et connecteurs,so
parce que,なぜなら,A1,Adverbes et connecteurs,because
pourquoi,なぜ,A1,Adverbes et connecteurs,why
comment,どうやって,A1,Adverbes et connecteurs,how
quand,いつ,A1,Adverbes et connecteurs,when
où,どこ,A1,Adverbes et connecteurs,where
combien,いくつ／いくら,A1,Adverbes et connecteurs,how much
l'ami,友達（ともだち）,A1,Ados et vie sociale,friend
le copain,彼氏／友達,A1,Ados et vie sociale,friend
le meilleur ami,親友（しんゆう）,A1,Ados et vie sociale,best friend
la fête,パーティー,A1,Ados et vie sociale,party
la soirée,夜のパーティー,A1,Ados et vie sociale,evening party
la sortie,外出（がいしゅつ）,A1,Ados et vie sociale,outing
le rendez-vous,約束／デート,A2,Ados et vie sociale,appointment
l'influenceur,インフルエンサー,A2,Ados et vie sociale,influencer
la tendance,トレンド,A2,Ados et vie sociale,trend
la mode,ファッション,A1,Ados et vie sociale,fashion
le look,見た目（みため）,A2,Ados et vie sociale,look
l'indépendance,自立（じりつ）,A2,Ados et vie sociale,independence
l'avenir,将来（しょうらい）,A2,Ados et vie sociale,future
le projet,計画（けいかく）,A2,Ados et vie sociale,project
le rêve,夢（ゆめ）,A1,Ados et vie sociale,dream
l'objectif,目標（もくひょう）,A2,Ados et vie sociale,goal
la motivation,やる気,A2,Ados et vie sociale,motivation
la réussite,成功（せいこう）,A2,Ados et vie sociale,success
l'échec,失敗（しっぱい）,A2,Ados et vie sociale,failure
le choix,選択（せんたく）,A2,Ados et vie sociale,choice
la décision,決断（けつだん）,A2,Ados et vie sociale,decision
la responsabilité,責任（せきにん）,A2,Ados et vie sociale,responsibility
bonjour,こんにちは,A1,Salutations et expressions courantes,hello
bonsoir,こんばんは,A1,Salutations et expressions courantes,good evening
salut,やあ／じゃあね,A1,Salutations et expressions courantes,hi
au revoir,さようなら,A1,Salutations et expressions courantes,goodbye
à bientôt,またね,A1,Salutations et expressions courantes,see you soon
à demain,また明日（あした）,A1,Salutations et expressions courantes,see you tomorrow
s'il vous plaît,お願いします（おねがいします）,A1,Salutations et expressions courantes,please
s'il te plaît,お願い（おねがい）,A1,Salutations et expressions courantes,please
merci,ありがとう,A1,Salutations et expressions courantes,thank you
de rien,どういたしまして,A1,Salutations et expressions courantes,you're welcome
pardon,すみません,A1,Salutations et expressions courantes,sorry
excusez-moi,失礼します（しつれいします）,A1,Salutations et expressions courantes,excuse me
bienvenue,ようこそ,A1,Salutations et expressions courantes,welcome
félicitations,おめでとう,A1,Salutations et expressions courantes,congratulations
bon anniversaire,誕生日おめでとう（たんじょうびおめでとう）,A1,Salutations et expressions courantes,happy birthday
bonne chance,頑張って（がんばって）,A1,Salutations et expressions courantes,good luck
bon appétit,いただきます,A1,Salutations et expressions courantes,enjoy your meal
enchanté,はじめまして,A1,Salutations et expressions courantes,nice to meet you
la valise,スーツケース,A1,Vacances et bord de mer,suitcase
le passeport,パスポート,A1,Vacances et bord de mer,passport
la crème solaire,日焼け止め（ひやけどめ）,A2,Vacances et bord de mer,sunscreen
les lunettes de soleil,サングラス,A1,Vacances et bord de mer,sunglasses
le parasol,ビーチパラソル,A2,Vacances et bord de mer,beach umbrella
la vague,波（なみ）,A2,Vacances et bord de mer,wave
le coquillage,貝殻（かいがら）,A2,Vacances et bord de mer,seashell
la croisière,クルーズ,A2,Vacances et bord de mer,cruise
bronzer,日焼けする（ひやけする）,A2,Vacances et bord de mer,to tan
se baigner,泳ぐ（およぐ）,A2,Vacances et bord de mer,to swim
le port,港（みなと）,A2,Vacances et bord de mer,harbor
le boucher,肉屋さん（にくやさん）,A2,Le marché et les commerçants,butcher
le poissonnier,魚屋さん（さかなやさん）,A2,Le marché et les commerçants,fishmonger
le fleuriste,花屋さん（はなやさん）,A2,Le marché et les commerçants,florist
le primeur,八百屋さん（やおやさん）,A2,Le marché et les commerçants,greengrocer
le marchand,売り手（うりて）,A2,Le marché et les commerçants,merchant
un kilo de,1キロの,A2,Le marché et les commerçants,a kilo of
l'étal,屋台（やたい）,A2,Le marché et les commerçants,market stall
le jeu de société,ボードゲーム,A1,Les jeux,board game
les dés,サイコロ,A1,Les jeux,dice
le puzzle,パズル,A1,Les jeux,puzzle
la devinette,なぞなぞ,A1,Les jeux,riddle
le pion,駒（こま）,A2,Les jeux,game piece
le plateau de jeu,ゲーム盤（ゲームばん）,A2,Les jeux,game board
la piñata,ピニャータ,A2,Les jeux,piñata
malade,病気の（びょうきの）,A1,États physiques et santé,sick
en bonne santé,健康な（けんこうな）,A1,États physiques et santé,healthy
en forme,元気な（げんきな）,A1,États physiques et santé,fit
guéri,治った（なおった）,A2,États physiques et santé,healed
blessé,怪我をした（けがをした）,A2,États physiques et santé,injured
la fièvre,熱（ねつ）,A1,États physiques et santé,fever
le rhume,風邪（かぜ）,A1,États physiques et santé,cold
la maladie,病気（びょうき）,A2,États physiques et santé,illness
la grippe,インフルエンザ,A2,États physiques et santé,flu
tousser,咳をする（せきをする）,A2,États physiques et santé,to cough
éternuer,くしゃみをする,A2,États physiques et santé,to sneeze
avoir mal,痛い（いたい）,A1,États physiques et santé,to hurt
